gene	R570_mean_TPM	lost_in_Saccharum_hybrid_cultivar	lost_in_Saccharum_officinarum	lost_in_Saccharum_spontaneum	lost_in_Tripidium_arundinaceum
SoffiXsponR570.04Gg013100.v2.1	50.737	no	no	no	yes
SoffiXsponR570.10Cg134300.v2.1	50.575	no	no	no	yes
SoffiXsponR570.07Eg172800.v2.1	50.491	no	no	no	yes
SoffiXsponR570.8_5Ag208200.v2.1	50.483	no	no	no	yes
SoffiXsponR570.04Bg163600.v2.1	50.451	no	no	no	yes
SoffiXsponR570.04Eg123500.v2.1	50.427	no	no	no	yes
SoffiXsponR570.07Ag067000.v2.1	50.052	no	no	no	yes
SoffiXsponR570.10Cg053400.v2.1	49.997	no	no	no	yes
SoffiXsponR570.07Ag040700.v2.1	49.814	no	no	no	yes
SoffiXsponR570.07Eg028300.v2.1	49.263	no	no	no	yes
SoffiXsponR570.01Ag046900.v2.1	49.188	no	no	no	yes
SoffiXsponR570.07Ag044200.v2.1	49.12	no	no	no	yes
SoffiXsponR570.04Dg159800.v2.1	48.485	no	no	no	yes
SoffiXsponR570.03Bg177100.v2.1	48.309	no	no	no	yes
SoffiXsponR570.10Dg067300.v2.1	48.247	no	no	no	yes
SoffiXsponR570.07Ag074100.v2.1	48.041	no	no	no	yes
SoffiXsponR570.8_5Ag047500.v2.1	47.879	no	no	no	yes
SoffiXsponR570.02Bg246000.v2.1	47.494	no	no	no	yes
SoffiXsponR570.06Ag011000.v2.1	47.487	no	no	no	yes
SoffiXsponR570.01Cg120800.v2.1	47.262	no	no	no	yes
SoffiXsponR570.03Eg080900.v2.1	47.163	no	no	no	yes
SoffiXsponR570.06Gg127500.v2.1	47.158	no	no	no	yes
SoffiXsponR570.07Dg178900.v2.1	47.132	no	no	no	yes
SoffiXsponR570.02Ag052400.v2.1	47.1	no	no	no	yes
SoffiXsponR570.06Fg109300.v2.1	46.881	no	no	no	yes
SoffiXsponR570.7_10Ag354900.v2.1	46.87	no	no	no	yes
SoffiXsponR570.05Bg053300.v2.1	46.816	no	no	no	yes
SoffiXsponR570.05Dg037600.v2.1	46.761	no	no	no	yes
SoffiXsponR570.03Dg124700.v2.1	46.733	no	no	no	yes
SoffiXsponR570.04Ag056800.v2.1	46.664	no	no	no	yes
SoffiXsponR570.5os2g006000.v2.1	46.455	no	no	no	yes
SoffiXsponR570.01Ag418100.v2.1	46.278	no	no	no	yes
SoffiXsponR570.06Ag194500.v2.1	45.888	no	no	no	yes
SoffiXsponR570.06Ag148800.v2.1	45.847	no	no	no	yes
SoffiXsponR570.01Ag230100.v2.1	45.766	no	no	no	yes
SoffiXsponR570.05Ag323600.v2.1	45.528	no	no	no	yes
SoffiXsponR570.05Bg081500.v2.1	45.476	no	no	no	yes
SoffiXsponR570.03Bg266600.v2.1	45.309	no	no	no	yes
SoffiXsponR570.09Dg006200.v2.1	45.185	no	no	no	yes
SoffiXsponR570.08Bg065700.v2.1	45.029	no	no	no	yes
SoffiXsponR570.07Bg262800.v2.1	44.817	no	no	no	yes
SoffiXsponR570.08Bg191600.v2.1	44.762	no	no	no	yes
SoffiXsponR570.01Bg281800.v2.1	44.729	no	no	no	yes
SoffiXsponR570.07Cg096000.v2.1	44.436	no	no	no	yes
SoffiXsponR570.05Cg069600.v2.1	44.372	no	no	no	yes
SoffiXsponR570.08Ag134000.v2.1	43.944	no	no	no	yes
SoffiXsponR570.08Bg068000.v2.1	43.843	no	no	no	yes
SoffiXsponR570.05Eg144700.v2.1	43.823	no	no	no	yes
SoffiXsponR570.01Eg411800.v2.1	43.715	no	no	no	yes
SoffiXsponR570.6_9Ag210100.v2.1	43.481	no	no	no	yes
SoffiXsponR570.05Eg072700.v2.1	43.252	no	no	no	yes
SoffiXsponR570.07Bg140100.v2.1	43.055	no	no	no	yes
SoffiXsponR570.08Bg154500.v2.1	43.054	no	no	no	yes
SoffiXsponR570.05Gg161800.v2.1	42.947	no	no	no	yes
SoffiXsponR570.05Fg166000.v2.1	42.92	no	no	no	yes
SoffiXsponR570.8_5Ag103600.v2.1	42.788	no	no	no	yes
SoffiXsponR570.01Dg201500.v2.1	42.785	no	no	no	yes
SoffiXsponR570.03Dg139400.v2.1	42.687	no	no	no	yes
SoffiXsponR570.05Fg297500.v2.1	42.673	no	no	no	yes
SoffiXsponR570.05Eg121400.v2.1	42.538	no	no	no	yes
SoffiXsponR570.04Gg006600.v2.1	42.51	no	no	no	yes
SoffiXsponR570.10us89g099600.v2.1	42.482	no	no	no	yes
SoffiXsponR570.01Ag452800.v2.1	42.451	no	no	no	yes
SoffiXsponR570.06Gg097500.v2.1	42.393	no	no	no	yes
SoffiXsponR570.01Eg360800.v2.1	42.215	no	no	no	yes
SoffiXsponR570.10Dg089500.v2.1	42.085	no	no	no	yes
SoffiXsponR570.08Ag181400.v2.1	41.999	no	no	no	yes
SoffiXsponR570.06Ag216000.v2.1	41.704	no	no	no	yes
SoffiXsponR570.5_9Ag447100.v2.1	41.644	no	no	no	yes
SoffiXsponR570.01Ag055000.v2.1	41.369	no	no	no	yes
SoffiXsponR570.05Cg007700.v2.1	41.326	no	no	no	yes
SoffiXsponR570.01Bg481800.v2.1	41.154	no	no	no	yes
SoffiXsponR570.5_9Ag079300.v2.1	41.044	no	no	no	yes
SoffiXsponR570.09Dg074700.v2.1	40.952	no	no	no	yes
SoffiXsponR570.02Ag405900.v2.1	40.893	no	no	no	yes
SoffiXsponR570.02Eg086200.v2.1	40.882	no	no	no	yes
SoffiXsponR570.02Ag336200.v2.1	40.878	no	no	no	yes
SoffiXsponR570.06Fg124800.v2.1	40.853	no	no	no	yes
SoffiXsponR570.02Gg178700.v2.1	40.82	no	no	no	yes
SoffiXsponR570.02Bg257700.v2.1	40.777	no	no	no	yes
SoffiXsponR570.02Cg379700.v2.1	40.589	no	no	no	yes
SoffiXsponR570.05Bg224900.v2.1	40.563	no	no	no	yes
SoffiXsponR570.01Bg255200.v2.1	40.546	no	no	no	yes
SoffiXsponR570.5_9Ag471300.v2.1	40.418	no	no	no	yes
SoffiXsponR570.01Bg317200.v2.1	40.38	no	no	no	yes
SoffiXsponR570.04Dg167600.v2.1	40.295	no	no	no	yes
SoffiXsponR570.02Bg109900.v2.1	40.233	no	no	no	yes
SoffiXsponR570.09Dg066100.v2.1	40.081	no	no	no	yes
SoffiXsponR570.06Fg014800.v2.1	39.922	no	no	no	yes
SoffiXsponR570.06Gg068600.v2.1	39.851	no	no	no	yes
SoffiXsponR570.01Bg358500.v2.1	39.846	no	no	no	yes
SoffiXsponR570.02Bg154600.v2.1	39.798	no	no	no	yes
SoffiXsponR570.02Dg363500.v2.1	39.717	no	no	no	yes
SoffiXsponR570.05Bg282300.v2.1	39.624	no	no	no	yes
