run	bioproject	genotype_clean	organism_sra	species_group	divergence_tier	tissue	instrument	lib_type	qc_flags	qc_pass	percent_mapped	num_mapped	genes_detected_gt0	genes_detected_ge1	tx_detected_gt0	pct_decoy	reads_raw	fastqc_raw_avg_read_length
ERR5885438	PRJEB44480	SRA3	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	66.61583087083801	24153075	107201	58103	132769	12.2392	72708330	101.0
ERR5885403	PRJEB44480	KQB09-20432	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	49.71260707310844	17631631	110091	54150	131604	21.5603	71101340	101.0
ERR5885373	PRJEB44480	KQ236	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	61.53738765116445	20638038	108676	56797	132966	14.9154	67157146	101.0
ERR5885040	PRJEB44480	SRA8	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	62.96452876349442	23780396	112642	59083	138025	14.2004	75683426	101.0
ERR5885034	PRJEB44480	MQ239	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	63.14905719971868	22622433	112842	60534	140381	13.4697	71848986	101.0
ERR5884419	PRJEB44480	SRA3	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	60.850720304864524	20123433	110710	58283	134229	16.427	66334456	101.0
ERR5883595	PRJEB44480	Q200	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	57.206816290535066	18314935	111025	58640	132961	16.6522	64232444	101.0
ERR5883420	PRJEB44480	Q135	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	43.05088179682576	14088132	105140	53271	123524	20.6144	65574396	101.0
ERR5883365	PRJEB44480	KQ236	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	62.618469658940626	20010866	103902	54614	126132	13.5635	64197450	101.0
ERR5884117	PRJEB44480	KQ228	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	64.36897541561734	24992311	109951	58763	136626	13.2203	77725398	101.0
ERR5884048	PRJEB44480	SRA2	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	48.383293592503655	16044234	107114	51894	127231	21.4654	66474580	101.0
ERR5884047	PRJEB44480	Q151	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	66.8293106321001	26833111	111423	59786	139232	11.4984	80359172	101.0
ERR5884046	PRJEB44480	MQ239	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	68.53865869380071	22245881	111635	61928	138153	11.588	65440494	101.0
ERR5902760	PRJEB44480	Q124	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	69.17960645223053	24916120	110313	60307	136260	11.4457	72252330	101.0
ERR5902711	PRJEB44480	Q138	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	53.07235676404548	16487530	109359	52822	130999	18.8061	62391118	101.0
ERR5902696	PRJEB44480	Q208	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	68.37341639018626	25766323	105439	55710	129933	12.7	75504600	101.0
ERR5902492	PRJEB44480	Q200	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	65.51363138502806	22485185	105743	55500	129223	12.6208	68865756	101.0
ERR5902481	PRJEB44480	Q200	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	50.676090204753166	17679136	111521	55544	133508	19.9491	70028032	101.0
ERR5900395	PRJEB44480	QN05-1743	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	59.84442472699713	20580676	107254	55053	129640	17.0129	68981512	101.0
ERR5900339	PRJEB44480	Q241	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	53.8090178446753	21151867	105657	53449	128645	16.6859	78995024	101.0
ERR5900087	PRJEB44480	Q237	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	64.47506987345795	22090177	111543	58578	135358	16.8781	68573460	101.0
ERR5900082	PRJEB44480	Q157	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	36.713461656682675	13759712	106651	50964	126080	25.4282	75521260	101.0
ERR5884018	PRJEB44480	Q237	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	66.6768238293529	23621305	111057	54578	135623	14.8705	71074194	101.0
ERR5884017	PRJEB44480	MQ239	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	53.447630943589616	20251511	119511	62917	146225	16.5464	75934864	101.0
ERR5884016	PRJEB44480	Q208	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	60.290000478010505	26474044	109409	51449	133532	16.1561	87906876	101.0
ERR5888697	PRJEB44480	Q186	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	64.10925465432906	23865958	113465	57838	138578	13.3658	74543176	101.0
ERR5886760	PRJEB44480	Q135	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	61.2668197015704	22826894	111573	58650	136983	14.4967	74612098	101.0
ERR5886589	PRJEB44480	Q241	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	55.28061966593866	18700846	108556	53831	130719	17.4132	67929346	101.0
ERR5886322	PRJEB44480	Q237	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	71.57713568804331	22546991	103644	57201	127043	11.2118	63507144	101.0
ERR5906597	PRJEB44480	Q138	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	61.658303823501726	19072186	107878	51717	129416	16.2989	62254462	101.0
ERR5906596	PRJEB44480	Q237	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	69.09113238680227	26170896	109711	55402	134324	14.1213	75952472	101.0
ERR5906595	PRJEB44480	SRA1	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	64.01624102847103	19490765	116528	63809	143330	13.6105	61005106	101.0
ERR5906386	PRJEB44480	Q186	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	59.582652254626176	23208450	111568	56274	135865	14.3742	78035396	101.0
ERR5906385	PRJEB44480	SRA8	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	62.28229223562192	19880953	106383	55861	129305	13.9582	64183724	101.0
ERR5905994	PRJEB44480	KQ236	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	50.723044232920344	16997038	107282	53176	127522	18.7881	67111424	101.0
ERR5903243	PRJEB44480	KQ236	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	68.72071757955757	25511895	108985	57588	134240	11.8682	74587422	101.0
ERR5903230	PRJEB44480	MQ239	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	65.6086164205694	24495490	116165	63547	144161	11.8251	74913848	101.0
ERR5903195	PRJEB44480	QN05-1743	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	30.552088140499183	10256237	96975	38591	112119	28.3629	67258232	101.0
ERR5884190	PRJEB44480	Q238	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	57.814422729595925	18900672	110147	55358	132651	16.5526	65535668	101.0
ERR5884188	PRJEB44480	SRA5	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	50.65966505518272	15210416	106007	54221	127275	19.7743	60435148	101.0
ERR5884118	PRJEB44480	Q135	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	63.083374998172935	24039605	113079	58469	138195	14.0244	76375338	101.0
